feature,importance
onpromotion,0.0013375971
year,0.00055434415
month,0.0020109646
day,0.001628828
dayofweek,0.001827485
dayofyear,0.004010813
weekofyear,0.00033654095
is_month_start,0.001477021
is_month_end,0.00039692406
dcoilwtico,0.0007804015
is_holiday,0.00030709236
cluster,0.00023899686
transactions,0.0015379068
sales_lag_1,0.064224325
sales_lag_7,0.08626574
sales_lag_14,0.010771253
sales_lag_28,0.0024648001
sales_lag_364,0.0007199061
sales_roll_mean_7,0.66261524
sales_roll_std_7,0.0026955185
sales_roll_mean_14,0.14125384
sales_roll_std_14,0.0010293914
sales_roll_mean_28,0.00091204327
sales_roll_std_28,0.00046171917
sales_roll_mean_60,0.0023343188
sales_roll_std_60,0.0010506837
sales_expanding_mean,0.00069769495
month_sin,0.00080108416
month_cos,0.0004137151
dow_sin,0.0010088217
dow_cos,0.0005698427
doy_sin,0.00040339492
doy_cos,0.0016302426
promo_roll_sum_7,0.00024047376
promo_roll_sum_14,0.00025032833
promo_roll_sum_30,0.00022141045
oil_lag_1,0.00051930494
